Bandwidth_R_100_W_0_64,Latency_R_100_W_0_64,Bandwidth_R_80_W_20_64,Latency_R_80_W_20_64,Bandwidth_R_75_W_25_64,Latency_R_75_W_25_64,Bandwidth_R_67_W_33_64,Latency_R_67_W_33_64,Bandwidth_R_50_W_50_64,Latency_R_50_W_50_64
18101,201.39,16258.5,336.87,16496.6,326.63,14871.6,473.37,15404.8,427.34
17971.4,205.9,16177.7,364.99,16496.6,329.43,15699.9,373.3,15307.6,456.72
17800.2,204.51,16193.8,351.11,16481.5,335.25,16039.4,360.26,14886.3,483.19
18110.2,193.94,16191.3,349.18,16467.3,333.97,16067.3,351.28,15133.7,450.44
17878.9,170.86,16390.8,281.41,16503.4,312.96,15572.8,362.04,15085.1,453.26
17064.5,152.63,15663.9,300.18,15787.8,311.77,15329.4,359.07,15354.2,466.16
15805.9,103.99,16594.6,174.63,16312.4,291.2,16063.7,265.8,15217.3,443.64
14166.3,54.63,15285.6,96.44,16050.9,284.01,16177.1,164.95,14427,66.1
11631.7,46.1,12943.9,58.26,16772.8,249.22,15951.6,87.34,11610.9,48.83
9955.3,41.92,10936.7,53.66,16683.6,224.37,14084.9,51.92,9978.6,42.02
7731,39.45,8822.1,43.76,16875.3,155.97,10947.7,41.18,7755.9,39.12
5946.2,39.29,6967.9,39.07,16336.1,77.58,8326.2,38.39,5818.2,40.79
5006.2,38.81,5759.1,38.59,14117.7,52.6,6880.7,36.96,4924.3,39.07
4350.3,36.52,4851.5,38.45,11124.6,48.78,5725.7,36.19,4179.7,38.48
3264.2,41.82,3894.2,37.74,8138.2,44.13,4508.6,35.46,3487.3,36.35
2967.1,37.44,3311.6,36.89,6640.1,38.78,3778.8,34.84,2968.5,36.88
2472.8,39.13,2841.9,36.78,5146.8,38.57,3194.6,34.85,2574.3,37.4
2134.2,38.49,2467.5,34.64,3601.5,38.54,2578.9,34.93,2169.2,37.85
1974.1,36.54,2155.9,34.15,2541.8,38.37,2201.2,34.39,1995.2,36
